group,roi,episode_id,segment_rows,tr_rows,warning_count,failed_batches,zero_filled_segments,mean_score_value,std_score_value,nonzero_value_rate,all_zero_segment_rate,all_zero_tr_rate,provider,model
round4_add10,AG,s02e23b,254,456,0,0,0,2.2644356955380576,1.900309481408233,0.8087270341207349,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,AG,s02e24b,252,468,0,0,0,2.1392195767195767,1.9697101616984753,0.7585978835978836,0.003968253968253968,0.004273504273504274,aihubmix,gemini-3.5-flash
round4_add10,AG,s02e01b,266,477,0,0,0,2.174498746867168,1.9508211269994238,0.7719298245614035,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,AG,s02e02b,245,450,0,0,0,2.1037414965986394,1.9356447750247858,0.7551020408163265,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e20b,249,449,0,0,0,1.1994645247657296,1.5985601728591727,0.49772423025435075,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e21a,254,470,0,0,0,1.326509186351706,1.670480353706782,0.5091863517060368,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e21b,278,470,0,0,0,1.538369304556355,1.65779612386879,0.6177458033573141,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e22a,235,453,0,0,0,2.469787234042553,2.1194159733770586,0.788936170212766,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e22b,245,453,0,0,0,2.283265306122449,2.251899927473279,0.6791836734693878,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e23a,249,456,0,0,0,1.7991967871485943,1.8215868738692085,0.6524765729585007,0.004016064257028112,0.0043859649122807015,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e23b,254,456,0,0,0,1.5750656167979002,1.7425530515386667,0.6007874015748031,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e24b,252,468,0,0,0,2.2452380952380953,2.0627500192033343,0.7420634920634921,0.007936507936507936,0.008547008547008548,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e01b,266,477,0,0,0,1.97468671679198,1.9328607597004943,0.7132832080200501,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,TPJ,s02e02b,245,450,0,0,0,2.089251700680272,1.9220684324694963,0.7284353741496599,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e20b,249,449,0,0,0,1.8848728246318607,1.9164960856232633,0.58714859437751,0.004016064257028112,0.011135857461024499,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e21a,254,470,0,0,0,1.689501312335958,1.8550972590539447,0.5391076115485565,0.011811023622047244,0.010638297872340425,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e21b,278,470,0,0,0,1.8544364508393285,1.8587174174166516,0.5976019184652278,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e22a,235,453,0,0,0,2.3843971631205676,2.080244246705035,0.6493617021276595,0.01276595744680851,0.013245033112582781,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e22b,245,453,0,0,0,2.0375510204081633,2.0363244171179256,0.6008163265306122,0.02857142857142857,0.019867549668874173,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e23a,249,456,0,0,0,1.848995983935743,1.839681141609903,0.6005354752342704,0.01606425702811245,0.015350877192982455,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e23b,254,456,0,0,0,1.9595800524934384,2.0005101270740875,0.5700787401574803,0.003937007874015748,0.008771929824561403,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e24b,252,468,0,0,0,2.1214285714285714,2.1968751427985405,0.5708994708994709,0.015873015873015872,0.017094017094017096,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e01b,266,477,0,0,0,1.988471177944862,1.9930625087930023,0.5904761904761905,0.015037593984962405,0.016771488469601678,aihubmix,gemini-3.5-flash
round4_add10,pSTS,s02e02b,245,450,0,0,0,1.7945578231292516,1.9441096212522588,0.5624489795918367,0.024489795918367346,0.02666666666666667,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e20b,249,449,0,0,0,2.488888888888889,2.0659338569216272,0.7236947791164658,0.01606425702811245,0.011135857461024499,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e21a,254,470,0,0,0,2.561679790026247,2.003802503964249,0.7354330708661417,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e21b,278,470,0,0,0,2.6127098321342928,2.0084668729136608,0.7503597122302158,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e22a,235,453,0,0,0,2.59177304964539,2.0037950814979513,0.7429787234042553,0.00425531914893617,0.004415011037527594,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e22b,245,453,0,0,0,2.5661224489795917,2.010681154756935,0.7202721088435374,0.00816326530612245,0.008830022075055188,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e23a,249,456,0,0,0,2.552074966532798,2.0417084361932916,0.7405622489959839,0.008032128514056224,0.006578947368421052,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e23b,254,456,0,0,0,2.5661417322834645,2.003398181559326,0.7511811023622047,0.003937007874015748,0.008771929824561403,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e24b,252,468,0,0,0,2.7436507936507937,2.224003112926979,0.7248677248677249,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e01b,266,477,0,0,0,2.4894736842105263,2.024849256107503,0.7075187969924812,0.011278195488721804,0.012578616352201259,aihubmix,gemini-3.5-flash
round4_add10,FFA,s02e02b,245,450,0,0,0,2.595918367346939,2.1316493422948763,0.7047619047619048,0.00816326530612245,0.008888888888888889,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e20b,249,449,0,0,0,0.2215528781793842,0.7696188999887947,0.09772423025435073,0.357429718875502,0.2739420935412027,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e21a,254,470,0,0,0,0.6929133858267716,1.4891963219842341,0.21751968503937008,0.1732283464566929,0.12340425531914893,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e21b,278,470,0,0,0,0.5089928057553957,1.050255509597474,0.23890887290167867,0.1474820143884892,0.14468085106382977,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e22a,235,453,0,0,0,0.551595744680851,1.2021320921904093,0.250354609929078,0.06382978723404255,0.037527593818984545,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e22b,245,453,0,0,0,0.5831632653061225,1.3394735210075988,0.2030612244897959,0.061224489795918366,0.04194260485651214,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e23a,249,456,0,0,0,0.30672690763052207,0.8477931800603471,0.15528781793842034,0.3253012048192771,0.21271929824561403,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e23b,254,456,0,0,0,0.4135498687664042,1.0109262648024517,0.18635170603674542,0.421259842519685,0.36403508771929827,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e24b,252,468,0,0,0,0.8730820105820106,1.735930677194682,0.265542328042328,0.007936507936507936,0.008547008547008548,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e01b,266,477,0,0,0,0.6842105263157895,1.3665792743460417,0.2581453634085213,0.06015037593984962,0.039832285115303984,aihubmix,gemini-3.5-flash
round4_add10,Insula,s02e02b,245,450,0,0,0,0.5052721088435375,1.2147293702564288,0.18401360544217688,0.13877551020408163,0.09777777777777778,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e20b,249,449,0,0,0,2.1985274431057564,1.489502931466718,0.8744310575635876,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e21a,254,470,0,0,0,2.341994750656168,1.7635401076410293,0.800524934383202,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e21b,278,470,0,0,0,2.308273381294964,1.5720859814070376,0.8786570743405275,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e22a,235,453,0,0,0,2.554609929078014,1.5952711669404753,0.9157446808510639,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e22b,245,453,0,0,0,2.5518367346938775,1.6286027651154589,0.8468027210884354,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e23a,249,456,0,0,0,2.0610441767068273,1.554333401606497,0.7809906291834002,0.004016064257028112,0.0043859649122807015,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e23b,254,456,0,0,0,2.1808398950131234,1.900711381698606,0.7278215223097113,0.003937007874015748,0.008771929824561403,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e24b,252,468,0,0,0,2.8924603174603174,2.12860556978171,0.8658730158730159,0.007936507936507936,0.008547008547008548,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e01b,266,477,0,0,0,2.2602756892230578,1.5172321535298168,0.8927318295739348,0.0,0.0,aihubmix,gemini-3.5-flash
round4_add10,Temporal_Pole,s02e02b,245,450,0,0,0,2.4582312925170067,1.7044430537200472,0.8495238095238096,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s02e03b,255,464,0,0,0,1.9872549019607844,2.0274668619243723,0.6196078431372549,0.011764705882352941,0.015086206896551725,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s02e04b,259,454,0,0,0,2.7294079794079793,2.201806333346123,0.7921492921492922,0.003861003861003861,0.00881057268722467,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s02e05b,264,455,0,0,0,2.4109848484848486,2.1600202346070385,0.7449494949494949,0.007575757575757576,0.008791208791208791,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e01a,269,491,0,0,0,1.550805452292441,1.5721661141647512,0.679368029739777,0.01486988847583643,0.018329938900203666,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e01b,264,491,0,0,0,1.9712752525252526,1.8066573409112119,0.7515782828282829,0.011363636363636364,0.012219959266802444,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e02a,272,475,0,0,0,2.2708333333333335,1.7439130250356205,0.8250612745098039,0.003676470588235294,0.00631578947368421,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e02b,282,475,0,0,0,2.493498817966903,1.7818245236210344,0.8605200945626478,0.0070921985815602835,0.01263157894736842,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e03a,253,454,0,0,0,2.0922266139657446,1.7689475433422845,0.775691699604743,0.015810276679841896,0.01762114537444934,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e03b,284,454,0,0,0,2.352699530516432,1.8073317657796046,0.8148474178403756,0.007042253521126761,0.011013215859030838,aihubmix,gemini-3.5-flash
round5_add10,DLPFC,s03e04a,268,473,0,0,0,2.279850746268657,1.8576631598689437,0.7857587064676617,0.011194029850746268,0.012684989429175475,aihubmix,gemini-3.5-flash
round5_add10,VMPFC,s02e03b,255,464,0,0,0,1.4676470588235293,1.7465061750277657,0.5515406162464986,0.011764705882352941,0.015086206896551725,aihubmix,gemini-3.5-flash
